SettlementPoint,Year,Month,AveragePrice
HB_WEST,2017,9,22.678819444444443
LZ_AEN,2017,9,24.628805555555555
LZ_CPS,2017,9,25.136652777777776
LZ_HOUSTON,2017,9,27.410027777777778
LZ_LCRA,2017,9,24.813430555555556
LZ_NORTH,2017,9,23.96840277777778
LZ_RAYBN,2017,9,23.535680555555555
LZ_SOUTH,2017,9,28.330347222222223
LZ_WEST,2017,9,27.011777777777777
HB_BUSAVG,2017,10,23.563279569892472
HB_HOUSTON,2017,10,30.141236559139784
HB_HUBAVG,2017,10,24.701451612903224
HB_NORTH,2017,10,21.40590053763441
HB_SOUTH,2017,10,25.563655913978494
HB_WEST,2017,10,21.69383064516129
LZ_AEN,2017,10,24.019905913978494
LZ_CPS,2017,10,25.27595430107527
LZ_HOUSTON,2017,10,31.33938172043011
LZ_LCRA,2017,10,24.48426075268817
LZ_NORTH,2017,10,21.938427419354838
LZ_RAYBN,2017,10,21.379932795698924
LZ_SOUTH,2017,10,28.464018817204302
LZ_WEST,2017,10,22.17331989247312
HB_BUSAVG,2017,11,22.677458333333334
HB_HOUSTON,2017,11,26.091055555555556
HB_HUBAVG,2017,11,23.16713888888889
HB_NORTH,2017,11,21.596208333333333
HB_SOUTH,2017,11,23.977180555555556
HB_WEST,2017,11,21.001791666666666
LZ_AEN,2017,11,23.019444444444446
LZ_CPS,2017,11,23.572569444444444
LZ_HOUSTON,2017,11,26.339625
LZ_LCRA,2017,11,23.047125
LZ_NORTH,2017,11,22.263166666666667
LZ_RAYBN,2017,11,21.829180555555556
LZ_SOUTH,2017,11,27.86572222222222
LZ_WEST,2017,11,22.15291666666667
HB_BUSAVG,2017,12,21.18795698924731
HB_HOUSTON,2017,12,21.549005376344088
HB_HUBAVG,2017,12,21.209852150537635
HB_NORTH,2017,12,20.952997311827957
HB_SOUTH,2017,12,21.997916666666665
HB_WEST,2017,12,20.338037634408604
LZ_AEN,2017,12,21.06293010752688
LZ_CPS,2017,12,22.048373655913977
LZ_HOUSTON,2017,12,21.97978494623656
LZ_LCRA,2017,12,21.11766129032258
LZ_NORTH,2017,12,21.40813172043011
LZ_RAYBN,2017,12,21.31260752688172
LZ_SOUTH,2017,12,25.404220430107525
LZ_WEST,2017,12,21.872258064516128
HB_BUSAVG,2018,1,37.869677419354844
HB_HOUSTON,2018,1,37.94478494623656
HB_HUBAVG,2018,1,37.77303763440861
HB_NORTH,2018,1,37.585900537634416
HB_SOUTH,2018,1,39.498145161290324
HB_WEST,2018,1,36.05163978494623
LZ_AEN,2018,1,38.83798387096774
LZ_CPS,2018,1,41.31287634408602
LZ_HOUSTON,2018,1,38.04498655913979
LZ_LCRA,2018,1,38.992567204301075
LZ_NORTH,2018,1,37.72852150537634
LZ_RAYBN,2018,1,39.37014784946237
LZ_SOUTH,2018,1,46.132567204301075
LZ_WEST,2018,1,37.29330645161291
HB_BUSAVG,2018,2,21.854315476190475
HB_HOUSTON,2018,2,22.164107142857144
HB_HUBAVG,2018,2,21.830059523809524
HB_NORTH,2018,2,21.76702380952381
HB_SOUTH,2018,2,22.30639880952381
HB_WEST,2018,2,21.08760416666667
LZ_AEN,2018,2,21.91388392857143
LZ_CPS,2018,2,22.517395833333335
LZ_HOUSTON,2018,2,22.375848214285714
LZ_LCRA,2018,2,21.762247023809525
LZ_NORTH,2018,2,21.84046130952381
LZ_RAYBN,2018,2,22.403169642857144
LZ_SOUTH,2018,2,25.19703869047619
LZ_WEST,2018,2,22.12410714285714
HB_BUSAVG,2018,3,22.561978465679676
HB_HOUSTON,2018,3,23.782543741588157
HB_HUBAVG,2018,3,22.40343203230148
HB_NORTH,2018,3,22.608008075370122
HB_SOUTH,2018,3,22.888452220726784
HB_WEST,2018,3,20.333620457604308
LZ_AEN,2018,3,22.202826379542394
LZ_CPS,2018,3,25.289273216689097
LZ_HOUSTON,2018,3,23.933458950201885
LZ_LCRA,2018,3,22.05130551816958
LZ_NORTH,2018,3,22.640551816958276
LZ_RAYBN,2018,3,23.8057065948856
LZ_SOUTH,2018,3,26.759973082099595
LZ_WEST,2018,3,22.30162853297443
HB_BUSAVG,2018,4,23.142958333333333
HB_HOUSTON,2018,4,24.652694444444446
HB_HUBAVG,2018,4,22.450305555555556
HB_NORTH,2018,4,23.522916666666667
HB_SOUTH,2018,4,24.471888888888888
HB_WEST,2018,4,17.156625000000002
LZ_AEN,2018,4,22.18848611111111
LZ_CPS,2018,4,26.535375
LZ_HOUSTON,2018,4,24.728347222222222
LZ_LCRA,2018,4,22.644027777777776
LZ_NORTH,2018,4,24.36688888888889
LZ_RAYBN,2018,4,27.198875
LZ_SOUTH,2018,4,28.186972222222224
LZ_WEST,2018,4,21.128125
HB_BUSAVG,2018,5,34.00524193548388
HB_HOUSTON,2018,5,34.14755376344086
HB_HUBAVG,2018,5,32.834852150537635
HB_NORTH,2018,5,35.306142473118285
HB_SOUTH,2018,5,34.226075268817205
HB_WEST,2018,5,27.69201612903226
LZ_AEN,2018,5,33.16616935483871
LZ_CPS,2018,5,36.05559139784946
LZ_HOUSTON,2018,5,35.5330376344086
LZ_LCRA,2018,5,34.735403225806444
LZ_NORTH,2018,5,37.45188172043011
LZ_RAYBN,2018,5,40.95125
LZ_SOUTH,2018,5,41.27442204301075
LZ_WEST,2018,5,49.60012096774193
HB_BUSAVG,2018,6,29.966125
HB_HOUSTON,2018,6,30.628486111111112
HB_HUBAVG,2018,6,29.781861111111112
HB_NORTH,2018,6,30.21188888888889
HB_SOUTH,2018,6,30.068638888888888
HB_WEST,2018,6,28.27702777777778
LZ_AEN,2018,6,30.286125
LZ_CPS,2018,6,30.72727777777778
LZ_HOUSTON,2018,6,31.802347222222224
LZ_LCRA,2018,6,30.365555555555556
LZ_NORTH,2018,6,31.30161111111111
LZ_RAYBN,2018,6,31.945583333333335
LZ_SOUTH,2018,6,32.25868055555556
